epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,38278.1,0.89591,0.42806,0.90366,0.41227,0.30248,0.32095,0.19246,1.72125,1.64184,1.28858,0.0058024,0.0058024,0.0058024
108,38523.3,0.89199,0.42642,0.90283,0.41323,0.30236,0.32115,0.19272,1.72125,1.64266,1.28846,0.0057628,0.0057628,0.0057628
109,38769.1,0.8936,0.427,0.90356,0.41372,0.30192,0.32111,0.19272,1.72244,1.64396,1.28891,0.0057232,0.0057232,0.0057232
110,39014.9,0.89294,0.42594,0.90286,0.41446,0.30112,0.3214,0.19289,1.72337,1.64687,1.28946,0.0056836,0.0056836,0.0056836
111,39260.3,0.89166,0.42614,0.90245,0.41474,0.30065,0.32143,0.19309,1.72418,1.64954,1.29001,0.005644,0.005644,0.005644
112,39505.5,0.88998,0.42439,0.90221,0.41467,0.2994,0.32152,0.19314,1.72479,1.65221,1.2904,0.0056044,0.0056044,0.0056044
113,39750.6,0.88869,0.42448,0.90308,0.41539,0.2991,0.32156,0.1933,1.72437,1.65431,1.29018,0.0055648,0.0055648,0.0055648
114,39996,0.88597,0.42343,0.90058,0.41597,0.29821,0.32155,0.19343,1.72515,1.65672,1.29046,0.0055252,0.0055252,0.0055252
115,40241.3,0.88688,0.42301,0.90094,0.41655,0.29847,0.32147,0.19356,1.72579,1.6597,1.29083,0.0054856,0.0054856,0.0054856
116,40487.1,0.88588,0.42277,0.90109,0.41673,0.29773,0.32151,0.19354,1.72591,1.66281,1.29082,0.005446,0.005446,0.005446
117,40732.5,0.88346,0.42168,0.90018,0.41736,0.29798,0.32184,0.19389,1.72599,1.6639,1.29104,0.0054064,0.0054064,0.0054064
118,40978,0.88359,0.42222,0.90117,0.41906,0.2982,0.32216,0.19411,1.72575,1.66487,1.29086,0.0053668,0.0053668,0.0053668
119,41223.7,0.8825,0.42129,0.89909,0.41961,0.29759,0.3224,0.19441,1.7258,1.66746,1.29091,0.0053272,0.0053272,0.0053272
120,41469.5,0.87993,0.42028,0.89877,0.42088,0.29737,0.3226,0.19472,1.72679,1.67192,1.29137,0.0052876,0.0052876,0.0052876
121,41715.2,0.88358,0.42137,0.89937,0.42158,0.29671,0.32253,0.19473,1.72803,1.67496,1.29193,0.005248,0.005248,0.005248
