epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,15648.1,1.32723,0.95266,1.02011,0.5367,0.43394,0.4494,0.27526,1.31557,0.97542,1.02689,0.0036244,0.0036244,0.0036244
163,15743,1.31964,0.94467,1.02066,0.53563,0.43455,0.4494,0.27524,1.31545,0.97481,1.02684,0.0035848,0.0035848,0.0035848
164,15837.7,1.32029,0.94677,1.02175,0.53695,0.43483,0.44951,0.27537,1.31553,0.97479,1.02682,0.0035452,0.0035452,0.0035452
165,15933.6,1.32234,0.94721,1.02096,0.53721,0.4347,0.4498,0.27535,1.31525,0.97447,1.02668,0.0035056,0.0035056,0.0035056
166,16029.9,1.3176,0.93938,1.01984,0.53622,0.43595,0.44995,0.27539,1.31512,0.97395,1.02659,0.003466,0.003466,0.003466
167,16125.4,1.32197,0.94348,1.0212,0.53696,0.43602,0.45004,0.27535,1.31487,0.97374,1.02645,0.0034264,0.0034264,0.0034264
168,16221.2,1.31128,0.93987,1.01971,0.53731,0.43745,0.45024,0.27533,1.31487,0.97327,1.02642,0.0033868,0.0033868,0.0033868
169,16317,1.31868,0.93884,1.01908,0.53562,0.43851,0.4505,0.27538,1.31498,0.97317,1.02636,0.0033472,0.0033472,0.0033472
170,16412.7,1.31256,0.93514,1.0179,0.5371,0.43668,0.45048,0.27556,1.31519,0.9731,1.02646,0.0033076,0.0033076,0.0033076
171,16508,1.30597,0.93344,1.01558,0.53696,0.43775,0.45087,0.27566,1.31505,0.97292,1.02634,0.003268,0.003268,0.003268
172,16602.9,1.31345,0.93532,1.01908,0.53631,0.43867,0.45072,0.27562,1.31493,0.97277,1.02638,0.0032284,0.0032284,0.0032284
173,16698.5,1.31458,0.93745,1.01564,0.5368,0.43878,0.45075,0.27568,1.31482,0.97256,1.02629,0.0031888,0.0031888,0.0031888
174,16794.4,1.30829,0.92768,1.01632,0.53668,0.43883,0.45092,0.27589,1.31491,0.97237,1.02623,0.0031492,0.0031492,0.0031492
175,16890.7,1.31278,0.93227,1.0182,0.53669,0.43866,0.45098,0.27598,1.31484,0.97223,1.02621,0.0031096,0.0031096,0.0031096
176,16987.2,1.31445,0.93107,1.01479,0.53715,0.43813,0.45095,0.27594,1.315,0.97196,1.02622,0.00307,0.00307,0.00307
177,17082.6,1.30918,0.92944,1.01575,0.53603,0.43968,0.45152,0.27628,1.31499,0.97179,1.02621,0.0030304,0.0030304,0.0030304
178,17178.4,1.31076,0.93076,1.01537,0.53737,0.43823,0.4515,0.27621,1.31525,0.97185,1.02628,0.0029908,0.0029908,0.0029908
179,17274.6,1.31794,0.93148,1.01759,0.53631,0.43867,0.4517,0.2763,1.31526,0.97153,1.0262,0.0029512,0.0029512,0.0029512
180,17370.7,1.30612,0.92598,1.01246,0.53695,0.43819,0.45177,0.27635,1.31519,0.97153,1.02623,0.0029116,0.0029116,0.0029116
181,17467,1.313,0.92927,1.01474,0.53785,0.43729,0.452,0.27652,1.31517,0.97124,1.02628,0.002872,0.002872,0.002872
182,17562.6,1.30749,0.92464,1.01384,0.53764,0.43631,0.4519,0.2764,1.3152,0.97148,1.02624,0.0028324,0.0028324,0.0028324
